Avenza_label,Trial_Type,SppComposition_Label,SppVar,PlantingYear,Num_Planted,Latitude,Longitude,Elevation,Slope,Aspect,BGC,SS_NoSpace,SMR_SNR,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,DamageandSeverity,Survival_est,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3,QuanitativeCollected,Comments_Trial
FDI_1984_-482960000,Operational,S-Bl50Sx30Pli20-15-2.7-15/M-982(02),FDI,1984,0,53.01882909,-121.9150874,,,,ESSFwk1,ESSFwk1/03,,,,,,,,,,,,,,,,""
FDI_1989_-406860000,Operational,S-Sx44Hw29Cw13Pli13Bl1-10-3.0-28/I-892(06),FDI,1989,1700,55.51428363,-127.7314412,,,,ICHmc2,ICHmc2/01,,,,,,,,,,,,,,,,""
FDI_1986_-385000000,Operational,S-Pli50Sw40Act10-24-13.0-21/E-1(12),FDI,1986,0,55.87667651,-122.3288197,,,,SBSwk2,SBS,,,,,,,,,,,,,,,,""
FDI_1986_-383940000,Operational,S-Act40Sw40Ep20-22-10.0-21/E-1(12),FDI,1986,0,55.52756846,-122.472458,,,,SBSwk2,SBSwk2/05,,,,,,,,,,,,,,,,""
FDI_1987_-211960000,Operational,S-Sx55Fdi33Pli12-19-3.6-18/I-945(03),FDI,1987,0,54.72350609,-124.8409303,,,,SBSdk,"",,,,,,,,,,,,,,,,""
FDI_1982_-158050000,Operational,S-Sx81Pli8Fdi8Bl3-20-9.5-15/E-1080(09),FDI,1982,18000,52.01901971,-120.4038538,,,,ESSFwk1,ESSFh,,,,,,,,,,,,,,,,""
PW_1990_-138510000,Operational,S-Pw70Pli30-18-9.0-20/E-1029(07),PW,1990,2000,53.64372885,-121.594595,,,,SBSvk,SBSvk,,,,,,,,,,,,,,,,""
FDI_1987_-126050000,Operational,S-Fdi94Sx5Bl1-8-1.8-21/M-1088(94),FDI,1987,49000,53.4158597,-121.630491,,,,ESSFwk1,SBSvk/01,,,,,,,,,,,,,,,,""
FDI_1987_-123780000,Operational,S-Sx90Bl10-17-4.0-15/E-700(08),FDI,1987,94000,53.55716689,-121.5207134,,,,ESSFwk1,ESSFwk1,,,,,,,,,,,,,,,,""
LW_1982_-45860000,Operational,S-Pli84Sx10Bl6-13-4.2-20/O-1033(97),LW,1982,4000,54.97254679,-126.7721293,,,,SBSmc2,SBSmc2/01,,,,,,,,,,,,,,,,""
