ID1,ID2,lat,long,el
EP1392-RISK,FDI,52.01028,-122.72722,1420
EP1392-RISK,FDI,52.01028,-122.72722,1420
EP1392-RISK,FDC,52.01028,-122.72722,1420
EP1392-RISK,FDC,52.01028,-122.72722,1420
EP1392-RISK,YC,52.01028,-122.72722,1420
EP1392-STRO,BA,52.02803,-122.73964,1360
EP1392-STRO,CW,52.02803,-122.73964,1360
EP1392-STRO,YC,52.02803,-122.73964,1360
EP1392-STRO,FDI,52.02803,-122.73964,1360
EP1392-STRO,FDI,52.02803,-122.73964,1360
EP1392-STRO,PY,52.02803,-122.73964,1360
EP1392-STRO,FDC,52.02803,-122.73964,1360
EP1392-STRO,BG,52.02803,-122.73964,1360
EP1392-STRO,FDC,52.02803,-122.73964,1360
EP1392-STRO,FDC,52.02803,-122.73964,1360
EP1392-STRO,FDI,52.02803,-122.73964,1360
EP1392-STRO,LW,52.02803,-122.73964,1360
EP1392-STRO,FDI,52.02803,-122.73964,1360
EP1392-STRO,LW,52.02803,-122.73964,1360
EP1392-STRO,LW,52.02803,-122.73964,1360
EP1392-STRO,FDC,52.02803,-122.73964,1360
EP1392-WHRS,PY,60.85,-135.21667,640
EP1392-WHRS,FDI,60.85,-135.21667,640
EP1392-WHRS,LW,60.85,-135.21667,640
EP1392-WHRS,LW,60.85,-135.21667,640
EP1392-WHRS,PW,60.85,-135.21667,640
EP1392-WHRS,FDC,60.85,-135.21667,640
EP1392-WHRS,FDC,60.85,-135.21667,640
EP1392-WHRS,FDC,60.85,-135.21667,640
EP1392-WHRS,FDC,60.85,-135.21667,640
EP1392-WHRS,PW,60.85,-135.21667,640
-744680000,CW,53.15680517,-120.3836334,
-588550000,FDI,54.03978459,-125.5039034,
-578390000,FDI,54.27953591,-125.2150862,
-630820000,FDI,53.63379363,-123.5924704,
-588210000,FDI,54.04568965,-125.4828544,
-588370000,FDI,54.05322854,-125.4383919,
-590520000,FDI,54.33432937,-125.532374,
-588130000,FDI,54.06293161,-125.4464702,
-527900000,FDI,54.5130278,-126.4920823,
-456530000,FDI,52.64668034,-123.4591584,
-479290000,FDI,52.86808021,-123.0416626,
-402920000,FDI,55.41492654,-128.1361107,
-397410000,CW,55.12984822,-127.308924,
-403710000,CW,55.60237209,-127.9024371,
