Trial_ID,Trial_Name,SppComposition_Label,PlantingYear,Project_Name,EP,Trial_Type,Latitude,Longitude,Elevation,Slope,Aspect,BGCv12,BGC,SS_NoSpace,SMR,SNR,SiteSoilFactor1,SiteSoilFactor2,SiteSoilFactor3,SitePrep,PlantingDate,PlantingSeason,Comments_Site,SppVar,Seedlots,Seed_Class,StockType,Num_Planted,Planting_Comments,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,Survival_est,Damage_Comments,SiteIndex,SiteIndex_Method,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3
Fdi-5,"","",1959,Skeena_Offsite,"",Operational,54.76905,-128.82713,248,0,999,"",CWHws1,CWHws1/01,"",,,,,,,May,Plantation 6801,FDI,D32,"",2+0 BR,,,,,,,,,,,,,,,,,
Fdi-6,"","",1959,Skeena_Offsite,"",Operational,54.78572,-126.12472,765,5,320,"",SBSmc2,SBSmc2/06,"",,,,,,,"","",FDI,D32,"",2+0 GTN,,,,,,,,,,,,,,,,,
Lw- 11,"","",1982,Skeena_Offsite,"",Operational,54.93898,-127.58494,706,2,250,"",ICHmc2,ICHmc2/03,"",,,,,,,July,Chist Creek,LW,2506,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
Lw-10(a),"","",1980,Skeena_Offsite,"",Operational,53.62114,-125.6785,1100,3,200,"",SBSmc2,SBSmc2/01,"",,,,,,,"","",LW,2554,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
Lw-10(b),"","",1980,Skeena_Offsite,"",Operational,53.61707,-125.68651,1022,15,280,"",SBSmc2,SBSmc2/01,"",,,,,,,"","",LW,2554,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
Lw-12,"","",1982,Skeena_Offsite,"",Operational,54.97016,-126.76878,965,5,40,"",SBSmc2,SBSmc2/05,"",,,,,,,July,Trans to SBSmc2,LW,2506,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
Lw1a,"","",1967,Skeena_Offsite,"",Operational,54.70792,-128.79793,164,5,999,"",CWHws1,CWHws1/04,"",,,,,,,October,"",LW,NW Montana,"",1+1 BR,,,,,,,,,,,,,,,,,
Lw1b,"","",1967,Skeena_Offsite,"",Operational,54.70821,-128.79706,150,5,999,"",CWHws1,CWHws1/04,"",,,,,,,October,"trans to mc2, same as Fdi30a",LW,NW Montana,"",1+1 BR,,,,,,,,,,,,,,,,,
Lw2a,"","",1968,Skeena_Offsite,"",Operational,54.7075,-128.79965,150,2,999,"",CWHws1,CWHws1/04,"",,,,,,,April,"trans to mc2, same as Fdi30b",LW,West  Montana,"",1+1 BR,,,,,,,,,,,,,,,,,
Lw2b,"","",1968,Skeena_Offsite,"",Operational,54.70823,-128.80095,150,2,999,"",CWHws1,CWHws1/04,"",,,,,,,April,same as Fdi 31c,LW,West  Montana,"",1+1 BR,,,,,,,,,,,,,,,,,
Lw3,"","",1967,Skeena_Offsite,"",Operational,54.30722,-128.50334,308,50,270,"",CWHws1,CWHws1/04,"",,,,,,,June,same as Fdi 31b,LW,2506,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
Lw4,"","",1980,Skeena_Offsite,"",Operational,54.32648,-128.48763,466,60,20,"",CWHws1,CWHws1/04,"",,,,,,,"","",LW,2506,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
Lw5,"","",1980,Skeena_Offsite,"",Operational,54.30257,-128.4637,336,45,190,"",CWHws1,CWHws1/01,"",,,,,,,"","",LW,2506,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
Lw7,"","",1981,Skeena_Offsite,"",Operational,54.01582,-127.2548,996,10,140,"",SBSmc2,SBSmc2/01,"",,,,,,,May,"",LW,2554,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
